GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Restaurant Management System,com.university.restaurant.infrastructure.entity,ReservationEntity,67,0,0,0,27,0,14,0,14,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,EntreeEntity,32,0,0,0,12,0,6,0,6,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,AuditLogEntity,106,0,0,0,44,0,22,0,22,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,ComboEntity,33,0,0,0,12,0,6,0,6,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,CustomerEntity,36,0,0,0,15,0,8,0,8,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,StaffEntity,69,0,0,0,27,0,14,0,14,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,DessertEntity,22,0,0,0,8,0,4,0,4,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,MenuItemEntity,85,0,0,0,33,0,16,0,16,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,OrderItemEntity,68,0,0,0,27,0,14,0,14,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,OrderEntity,96,0,0,0,36,0,19,0,19,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,PaymentEntity,53,0,0,0,22,0,12,0,12,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,DrinkEntity,22,0,0,0,8,0,4,0,4,0
Restaurant Management System,com.university.restaurant.infrastructure.entity,InventoryEntity,83,0,4,0,30,0,17,0,15,0
Restaurant Management System,com.university.restaurant.model.staff,Waiter,0,9,0,0,0,1,0,1,0,1
Restaurant Management System,com.university.restaurant.model.staff,Manager,0,9,0,0,0,1,0,1,0,1
Restaurant Management System,com.university.restaurant.model.staff,Chef,0,9,0,0,0,1,0,1,0,1
Restaurant Management System,com.university.restaurant.chain.analytics,ManagerAnalyticsHandler,0,7,0,0,0,3,0,3,0,3
Restaurant Management System,com.university.restaurant.chain.analytics,DenyAnalyticsHandler,0,14,0,0,0,4,0,3,0,3
Restaurant Management System,com.university.restaurant.chain.analytics,AnalyticsPermissionChain,1,33,1,3,1,8,1,3,0,2
Restaurant Management System,com.university.restaurant.infrastructure.dto,OrderItemDTO,46,0,0,0,15,0,10,0,10,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,MenuItemDTO,76,0,0,0,24,0,16,0,16,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,ComboDTO,33,0,0,0,9,0,6,0,6,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,OrderDTO,76,0,0,0,24,0,16,0,16,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,DTOMapper,241,0,16,0,82,0,15,0,7,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,InventoryDTO,76,0,0,0,24,0,16,0,16,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,DrinkDTO,23,0,0,0,6,0,4,0,4,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,EntreeDTO,33,0,0,0,9,0,6,0,6,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,DessertDTO,23,0,0,0,6,0,4,0,4,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,CustomerDTO,36,0,0,0,12,0,8,0,8,0
Restaurant Management System,com.university.restaurant.infrastructure.dto,PaymentDTO,56,0,0,0,18,0,12,0,12,0
